"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"277C4A1B56F29385C0A86FA6","1118-57"
"24B253EE56F2A72CC0A86FA6","1118-58"
"4F23540957163F7EC0A86FA6","1118-59"
"56D75457578D065CC0A86FA6","1118-60"
"6DCF727D578D2C54C0A86FA6","1118-61"
"3B80676D57911592C0A86FA6","1118-62"
"5164067F5791357FC0A86FA6","1118-63"
"CDC71D0A57E45E31C0A86FA6","1118-64"
"679844663F6DE259C0A80134","1119-1"
"2198172B3E892828C0A80132","1119-11"
"FAA259064085FD82FFFFFFFF","1119-3"
"CC2132A940ECE654C0A80133","1119-4"
"A248043940F53CDCC0A80134","1119-5"
"F94065C53C30D9BDC0A801E0","1119-7"
"41051C793981F498C0A80119","112-1"
"5DAE353C4815C4EAC0A80132","112-10"
"5938353C4815D0FCC0A80132","112-11"
"64A9353C4815D293C0A80132","112-12"
"0C0661F34D21E3D4C0A80134","112-13"
"2A3B61F34D21EA2DC0A80134","112-14"
"2B5D0B533FD34696C0A80133","112-3"
"C5F96F103FF31788C0A80133","112-4"
"CAB608C53E4EDB73C0A80133","112-6"
"9138603341F28E7EC0A80132","112-7"
"E5BD5DA445C60490C0A80135","112-8"
"685100FD45C7BE39C0A80133","112-9"
"3A49032E42CE3B9AC0A80132","1120-1"
"300C617142CEB1D2C0A80133","1120-2"
"3B1D3BAA508AD9CEC0A80132","1120-3"
"5FAA49723BF41919C0A801E1","1121-1"
"EDE2398C42D01B7EC0A80133","1122-1"
"D8B7037D3BF63DD3C0A80119","1123-1"
"E40405FC3D271DB5C0A80118","1123-2"
"079330593F1A8AA3C0A80132","1124-1"
"4A886A063CF6875AC0A80119","1124-13"
"DF7109903E4B1C4BC0A80134","1124-14"
"92862EB94231492AC0A80133","1124-15"
"98110F913F2A27D3C0A80134","1124-2"
"915D0B3E3FCDEFA4C0A80133","1124-3"
"16E003553FF1B019C0A80133","1124-4"
"A60B1A50402932B4C0A80134","1124-5"
"56971DE14044CC0FC0A80133","1124-6"
"7BA81DE14044D306C0A80133","1124-8"
"397B50373BFB20ACC0A80118","1125-1"
"F60E048C42D2B183C0A80133","1126-1"
"9ABE3B9E3BFD9641C0A801E0","1127-1"
"B1A748903D80E3ECC0A80118","1127-12"
"97EE30AA3C0BB845C0A801E0","1127-4"
"A1A062D73C100487C0A80118","1127-5"
"D54D73D73C752E71C0A801E1","1127-8"
"E4C9017F42D35F07C0A80133","1128-1"
"E6445B4144EF40F9C0A80134","1128-10"
"3DEA3C2945766AE7C0A80133","1128-11"
"5060048042D3720DC0A80133","1128-2"
"E30E2F5942DF63BCC0A80133","1128-3"
"30222C4142E06A2FC0A80133","1128-4"
"ED6707E642E1C16CC0A80132","1128-5"
"337B3B6C42E85CC4C0A80132","1128-6"
"9C43616B42EF2B74C0A80134","1128-7"
"8037411F43094770C0A80132","1128-8"
"EA151BAA43944D4CC0A80134","1128-9"
"954A0BE34171A19CC0A80134","1129-1"
"C13941BA3BFF5D23C0A80118","1129-2"
"50C6748143CC3F02C0A80134","1129-3"
"2E2B37E2397B394EC0A801E0","113-1"
"516B2EEE42D40D3EC0A80132","1130-1"
"3587291942D71D05C0A80132","1130-2"
"A3112D5842DD6845C0A80133","1130-3"
